series,epoch,training_seed,task,task_label,capture_B,mean_abs_offdiag_cosine,feature_dim,source_json,source_sha256
vicreg_r18_normalized_backbone,80,6,posY,y-position,0.9993972182273865,6.961822509765625e-05,253,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_80_vicreg_r18_backbone.json,932c5fe8d667a0d6dc0b82fc17ac76035b4de5ea3c24a1f930f421dcc505a8a3
supervised_scale_r18_normalized_backbone,0,17,scale,size,0.9342118501663208,0.00024763745022937655,249,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,cd6eb8875cfe904845d8dfeef78fea4fbcaf2da6cf863e6636f4c23339ca6276
supervised_scale_r18_normalized_backbone,0,17,posX,x-position,0.9939278364181519,0.00024763745022937655,249,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,cd6eb8875cfe904845d8dfeef78fea4fbcaf2da6cf863e6636f4c23339ca6276
supervised_scale_r18_normalized_backbone,0,17,posY,y-position,0.9941307902336121,0.00024763745022937655,249,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,cd6eb8875cfe904845d8dfeef78fea4fbcaf2da6cf863e6636f4c23339ca6276
supervised_scale_r18_normalized_backbone,10,17,scale,size,0.9995134472846985,0.0003439188003540039,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,10ead1e690ecd211fdde38592aa673e50b53bcebbaa8c9ade60f40bfe078731f
supervised_scale_r18_normalized_backbone,10,17,posX,x-position,0.983859658241272,0.0003439188003540039,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,10ead1e690ecd211fdde38592aa673e50b53bcebbaa8c9ade60f40bfe078731f
supervised_scale_r18_normalized_backbone,10,17,posY,y-position,0.9859389662742615,0.0003439188003540039,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,10ead1e690ecd211fdde38592aa673e50b53bcebbaa8c9ade60f40bfe078731f
supervised_scale_r18_normalized_backbone,40,17,scale,size,0.9998685121536255,0.0001733700482873246,9,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,40d248771c0b88a035f2ace5782a17e1039c395ff4ef3ecb2dde71bfab0a9759
supervised_scale_r18_normalized_backbone,40,17,posX,x-position,0.9853678941726685,0.0001733700482873246,9,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,40d248771c0b88a035f2ace5782a17e1039c395ff4ef3ecb2dde71bfab0a9759
supervised_scale_r18_normalized_backbone,40,17,posY,y-position,0.9874470233917236,0.0001733700482873246,9,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,40d248771c0b88a035f2ace5782a17e1039c395ff4ef3ecb2dde71bfab0a9759
supervised_scale_r18_normalized_backbone,80,17,scale,size,0.9999234080314636,0.0002135435788659379,8,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,ec46a9975b14bad6c60712e7f66d459fdf098f8a9eb6504369f1236864125ca8
supervised_scale_r18_normalized_backbone,80,17,posX,x-position,0.9853442907333374,0.0002135435788659379,8,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,ec46a9975b14bad6c60712e7f66d459fdf098f8a9eb6504369f1236864125ca8
supervised_scale_r18_normalized_backbone,80,17,posY,y-position,0.9875736236572266,0.0002135435788659379,8,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_17/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,ec46a9975b14bad6c60712e7f66d459fdf098f8a9eb6504369f1236864125ca8
supervised_scale_r18_normalized_backbone,0,29,scale,size,0.9304210543632507,0.0006162723293527961,210,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,11e67d94074aa859b092f4ee0cdd7831d0d90af0687b9dd4af88b16f4a5c4c01
supervised_scale_r18_normalized_backbone,0,29,posX,x-position,0.9945982098579407,0.0006162723293527961,210,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,11e67d94074aa859b092f4ee0cdd7831d0d90af0687b9dd4af88b16f4a5c4c01
supervised_scale_r18_normalized_backbone,0,29,posY,y-position,0.9937596917152405,0.0006162723293527961,210,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,11e67d94074aa859b092f4ee0cdd7831d0d90af0687b9dd4af88b16f4a5c4c01
supervised_scale_r18_normalized_backbone,10,29,scale,size,0.9992538690567017,0.00023857752967160195,11,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,fe004c4015c2fecf2895161172a72bbf7ac301b19c0795d1853252c262918b3e
supervised_scale_r18_normalized_backbone,10,29,posX,x-position,0.9842533469200134,0.00023857752967160195,11,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,fe004c4015c2fecf2895161172a72bbf7ac301b19c0795d1853252c262918b3e
supervised_scale_r18_normalized_backbone,10,29,posY,y-position,0.9837491512298584,0.00023857752967160195,11,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,fe004c4015c2fecf2895161172a72bbf7ac301b19c0795d1853252c262918b3e
supervised_scale_r18_normalized_backbone,40,29,scale,size,0.9997628331184387,0.0003059307928197086,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,5187ca2fc2699bd76fce994113f6d6f6de593e9dadba302d3700d2982e8b7ada
supervised_scale_r18_normalized_backbone,40,29,posX,x-position,0.985939621925354,0.0003059307928197086,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,5187ca2fc2699bd76fce994113f6d6f6de593e9dadba302d3700d2982e8b7ada
supervised_scale_r18_normalized_backbone,40,29,posY,y-position,0.9861624836921692,0.0003059307928197086,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,5187ca2fc2699bd76fce994113f6d6f6de593e9dadba302d3700d2982e8b7ada
supervised_scale_r18_normalized_backbone,80,29,scale,size,0.9998435378074646,0.0004740556178148836,9,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,d7d27b4800fb88910a2ce13fe88b0c8bf1b3a54d984a6e8c9adf95431b1b8ae5
supervised_scale_r18_normalized_backbone,80,29,posX,x-position,0.9861000776290894,0.0004740556178148836,9,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,d7d27b4800fb88910a2ce13fe88b0c8bf1b3a54d984a6e8c9adf95431b1b8ae5
supervised_scale_r18_normalized_backbone,80,29,posY,y-position,0.9857509136199951,0.0004740556178148836,9,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_29/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,d7d27b4800fb88910a2ce13fe88b0c8bf1b3a54d984a6e8c9adf95431b1b8ae5
supervised_scale_r18_normalized_backbone,0,6,scale,size,0.9329394698143005,0.0009081761236302555,216,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,640f6487e991c1bb43c7cb06b94962399bb7af2ad8f77a8ca29bb1c23b490211
supervised_scale_r18_normalized_backbone,0,6,posX,x-position,0.9944475293159485,0.0009081761236302555,216,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,640f6487e991c1bb43c7cb06b94962399bb7af2ad8f77a8ca29bb1c23b490211
supervised_scale_r18_normalized_backbone,0,6,posY,y-position,0.9949564933776855,0.0009081761236302555,216,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_0_supervised_scale_r18_backbone.json,640f6487e991c1bb43c7cb06b94962399bb7af2ad8f77a8ca29bb1c23b490211
supervised_scale_r18_normalized_backbone,10,6,scale,size,0.9991932511329651,0.00046225389814935625,13,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,d6546656bb0128632ca9906df6c5e14df66effdcb09af1cf0238a3c25580dd8f
supervised_scale_r18_normalized_backbone,10,6,posX,x-position,0.981194019317627,0.00046225389814935625,13,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,d6546656bb0128632ca9906df6c5e14df66effdcb09af1cf0238a3c25580dd8f
supervised_scale_r18_normalized_backbone,10,6,posY,y-position,0.9832156896591187,0.00046225389814935625,13,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_10_supervised_scale_r18_backbone.json,d6546656bb0128632ca9906df6c5e14df66effdcb09af1cf0238a3c25580dd8f
supervised_scale_r18_normalized_backbone,40,6,scale,size,0.9997361302375793,0.0003485679626464844,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,cae8e0849b0a2ff9ba8e0cdc244da6fc6919416ab601bf83282a89d4ef418775
supervised_scale_r18_normalized_backbone,40,6,posX,x-position,0.9845013618469238,0.0003485679626464844,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,cae8e0849b0a2ff9ba8e0cdc244da6fc6919416ab601bf83282a89d4ef418775
supervised_scale_r18_normalized_backbone,40,6,posY,y-position,0.9842445254325867,0.0003485679626464844,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_40_supervised_scale_r18_backbone.json,cae8e0849b0a2ff9ba8e0cdc244da6fc6919416ab601bf83282a89d4ef418775
supervised_scale_r18_normalized_backbone,80,6,scale,size,0.9998392462730408,0.00024116039276123047,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,b05468be622f47c5f198addbdf1daca341e1feea68c7e99dd2e3acb0c7ff24d8
supervised_scale_r18_normalized_backbone,80,6,posX,x-position,0.9854760766029358,0.00024116039276123047,10,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/supervised_scale_r18_backbone/seed_6/metrics/hyperrect_supervised_dsprites_epoch_80_supervised_scale_r18_backbone.json,b05468be622f47c5f198addbdf1daca341e1feea68c7e99dd2e3acb0c7ff24d8
