condition,condition_label,pair_factors,epoch,training_seed,task,task_label,capture_B,mean_abs_offdiag_cosine,source_json,source_sha256
posX_varies,x-position varies,"[""scale"", ""posY""]",0,6,scale,size,0.9329261183738708,0.0008978049154393375,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,121e15e13331ec10f790f9681aaaf45e54f24fc88b08a9715d157f7a4586ba35
posX_varies,x-position varies,"[""scale"", ""posY""]",0,6,posX,x-position,0.9944010972976685,0.0008978049154393375,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,121e15e13331ec10f790f9681aaaf45e54f24fc88b08a9715d157f7a4586ba35
posX_varies,x-position varies,"[""scale"", ""posY""]",0,6,posY,y-position,0.9949144124984741,0.0008978049154393375,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_posx_varies.json,121e15e13331ec10f790f9681aaaf45e54f24fc88b08a9715d157f7a4586ba35
posX_varies,x-position varies,"[""scale"", ""posY""]",10,6,scale,size,0.9995071291923523,0.0006362994899973273,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,3077505ddfb76fa338cbd1e8b086f20619a58e6af553d644e8143d484cd63e72
posX_varies,x-position varies,"[""scale"", ""posY""]",10,6,posX,x-position,0.6342340707778931,0.0006362994899973273,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,3077505ddfb76fa338cbd1e8b086f20619a58e6af553d644e8143d484cd63e72
posX_varies,x-position varies,"[""scale"", ""posY""]",10,6,posY,y-position,0.9997667074203491,0.0006362994899973273,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_posx_varies.json,3077505ddfb76fa338cbd1e8b086f20619a58e6af553d644e8143d484cd63e72
posX_varies,x-position varies,"[""scale"", ""posY""]",40,6,scale,size,0.9995249509811401,0.0007867416134104133,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,54344eba55d02b3cd46228b8e224f02dcddc3333cee778ca6bb09de93022df88
posX_varies,x-position varies,"[""scale"", ""posY""]",40,6,posX,x-position,0.6882534027099609,0.0007867416134104133,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,54344eba55d02b3cd46228b8e224f02dcddc3333cee778ca6bb09de93022df88
posX_varies,x-position varies,"[""scale"", ""posY""]",40,6,posY,y-position,0.9997652769088745,0.0007867416134104133,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_posx_varies.json,54344eba55d02b3cd46228b8e224f02dcddc3333cee778ca6bb09de93022df88
posX_varies,x-position varies,"[""scale"", ""posY""]",80,6,scale,size,0.9998116493225098,0.07327406108379364,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/posX_varies/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_80_posx_varies.json,02e93827efd67605b9225666c66f7719bb138c3da20f2e49776d909326940cb1
